"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Odobenus_rosmarus - Zalophus_californianus",5973,351,183,16,0.0707158905675066
"Panthera_pardus - Panthera_tigris",12541,381,480,79,1.20113404292288e-36
"Panthera_pardus - Puma_concolor",10607,428,395,78,2.56131360646771e-33
"Panthera_pardus - Suricata_suricatta",10955,290,403,83,3.83354104129997e-52
"Panthera_pardus - Ursus_maritimus",12660,323,541,62,3.82807846831963e-24
"Panthera_pardus - Zalophus_californianus",5938,135,230,15,0.00020451832284897
"Panthera_tigris - Puma_concolor",10394,439,334,69,1.78663195985728e-29
"Panthera_tigris - Suricata_suricatta",10583,331,385,105,1.34449363827763e-72
"Panthera_tigris - Ursus_maritimus",12504,363,477,74,6.9264325719451e-34
"Panthera_tigris - Zalophus_californianus",5593,203,200,48,1.45415650222224e-27
"Puma_concolor - Suricata_suricatta",9020,359,322,99,1.70364420768554e-63
"Puma_concolor - Ursus_maritimus",10452,413,365,72,2.53367305964394e-31
"Puma_concolor - Zalophus_californianus",5164,209,161,37,6.38688377538997e-19
"Suricata_suricatta - Ursus_maritimus",10741,270,394,93,3.54971271474069e-67
"Suricata_suricatta - Zalophus_californianus",5123,132,149,42,4.73364116283717e-34
"Ursus_maritimus - Zalophus_californianus",5717,158,171,42,1.28664686911316e-29
