"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Ailuropoda_melanoleuca - Callorhinus_ursinus",6493,558,184,17,0.414126893458164
"Ailuropoda_melanoleuca - Canis_familiaris",12192,753,803,71,0.00124751532984795
"Ailuropoda_melanoleuca - Eumetopias_jubatus",7543,682,225,24,0.224000602057708
"Ailuropoda_melanoleuca - Felis_catus",11229,656,351,34,0.00252645574178945
"Ailuropoda_melanoleuca - Mustela_putorius",11720,770,781,67,0.0138220918014003
"Ailuropoda_melanoleuca - Neomonachus_schauinslandi",12335,797,332,32,0.0150872908632955
"Ailuropoda_melanoleuca - Odobenus_rosmarus",12214,913,352,36,0.0336497154501005
"Ailuropoda_melanoleuca - Panthera_pardus",12123,733,347,34,0.00366845455763028
"Ailuropoda_melanoleuca - Panthera_tigris",11725,840,447,93,1.24765029958713e-21
"Ailuropoda_melanoleuca - Puma_concolor",9907,894,367,83,1.03802291068618e-15
"Ailuropoda_melanoleuca - Suricata_suricatta",10368,730,693,56,0.151438520896696
"Ailuropoda_melanoleuca - Ursus_maritimus",11924,771,384,56,6.69365903749642e-09
"Ailuropoda_melanoleuca - Zalophus_californianus",5506,586,164,20,0.291627895264396
"Callorhinus_ursinus - Canis_familiaris",6979,146,404,18,0.00181755645822008
"Callorhinus_ursinus - Eumetopias_jubatus",6660,105,47,4,0.00618519772920353
"Callorhinus_ursinus - Felis_catus",6309,92,103,3,0.18964765777948
"Callorhinus_ursinus - Mustela_putorius",6616,182,358,14,0.115514650981663
"Callorhinus_ursinus - Neomonachus_schauinslandi",7147,186,79,9,0.000193047123682821
"Callorhinus_ursinus - Odobenus_rosmarus",7061,355,72,7,0.0687758340023569
"Callorhinus_ursinus - Panthera_pardus",7003,161,95,10,5.87054671428855e-05
"Callorhinus_ursinus - Panthera_tigris",6617,212,180,42,1.48330954145075e-25
"Callorhinus_ursinus - Puma_concolor",6086,246,176,48,7.04593250014731e-28
"Callorhinus_ursinus - Suricata_suricatta",5953,139,298,20,1.6107140916666e-05
"Callorhinus_ursinus - Ursus_maritimus",6760,160,169,26,1.10532830532585e-14
"Callorhinus_ursinus - Zalophus_californianus",4782,71,37,3,0.0169887132114765
"Canis_familiaris - Eumetopias_jubatus",8091,190,480,28,6.43343708541051e-06
"Canis_familiaris - Felis_catus",11863,216,642,28,1.50636664693516e-05
"Canis_familiaris - Mustela_putorius",12383,301,1117,43,0.00164015737421373
"Canis_familiaris - Neomonachus_schauinslandi",13119,358,683,30,0.00691632940064552
"Canis_familiaris - Odobenus_rosmarus",12955,517,704,48,0.000190346785550747
"Canis_familiaris - Panthera_pardus",12919,313,686,26,0.0159260064365569
"Canis_familiaris - Panthera_tigris",12405,407,751,91,7.62863806392277e-29
"Canis_familiaris - Puma_concolor",10525,444,664,81,8.5059794782673e-19
"Canis_familiaris - Suricata_suricatta",10948,276,991,41,0.00102522080277668
"Canis_familiaris - Ursus_maritimus",12614,355,771,65,7.1981250131061e-16
"Canis_familiaris - Zalophus_californianus",5918,106,348,7,0.432454132645597
"Eumetopias_jubatus - Felis_catus",7318,132,121,4,0.174388368661384
"Eumetopias_jubatus - Mustela_putorius",7666,251,433,20,0.074511192498597
"Eumetopias_jubatus - Neomonachus_schauinslandi",8287,241,100,13,5.78324667642086e-06
"Eumetopias_jubatus - Odobenus_rosmarus",8178,422,94,7,0.210914358198375
"Eumetopias_jubatus - Panthera_pardus",8109,205,115,10,0.000633702448305417
"Eumetopias_jubatus - Panthera_tigris",7685,273,209,48,1.74304861361692e-26
"Eumetopias_jubatus - Puma_concolor",7099,293,200,48,1.69148660364061e-24
"Eumetopias_jubatus - Suricata_suricatta",6905,197,367,25,3.98871656633945e-05
"Eumetopias_jubatus - Ursus_maritimus",7853,211,216,32,1.28759349387619e-15
"Eumetopias_jubatus - Zalophus_californianus",5390,91,37,1,0.468546898426553
"Felis_catus - Mustela_putorius",11436,235,669,33,2.38207946220107e-06
"Felis_catus - Neomonachus_schauinslandi",12019,286,204,16,2.94064882198323e-05
"Felis_catus - Odobenus_rosmarus",11890,443,230,21,0.000139070921308319
"Felis_catus - Panthera_pardus",11887,176,183,16,1.21150180337219e-08
"Felis_catus - Panthera_tigris",11482,258,269,44,7.30738508119225e-26
"Felis_catus - Puma_concolor",9687,303,246,45,1.41573386886325e-22
"Felis_catus - Suricata_suricatta",10140,210,564,28,1.41048955175093e-05
"Felis_catus - Ursus_maritimus",11628,227,328,41,5.93601085994038e-22
"Felis_catus - Zalophus_californianus",5268,72,89,5,0.00707019395529136
"Mustela_putorius - Neomonachus_schauinslandi",12565,389,665,38,0.000191835266576259
"Mustela_putorius - Odobenus_rosmarus",12441,522,694,54,7.61358106059097e-06
"Mustela_putorius - Panthera_pardus",12334,323,688,44,3.1743832905034e-08
"Mustela_putorius - Panthera_tigris",11905,415,780,94,1.26617059174133e-27
"Mustela_putorius - Puma_concolor",10064,428,677,75,6.00016549590392e-15
"Mustela_putorius - Suricata_suricatta",10496,303,906,56,2.98511325472645e-08
"Mustela_putorius - Ursus_maritimus",12097,327,776,58,8.84080579388142e-13
"Mustela_putorius - Zalophus_californianus",5537,174,300,11,0.342430141332004
"Neomonachus_schauinslandi - Odobenus_rosmarus",13241,568,171,21,1.36442828322213e-05
"Neomonachus_schauinslandi - Panthera_pardus",13160,357,188,22,7.91318685722069e-09
"Neomonachus_schauinslandi - Panthera_tigris",12635,413,308,72,8.45949642377412e-42
"Neomonachus_schauinslandi - Puma_concolor",10711,449,288,74,1.20994630771131e-38
"Neomonachus_schauinslandi - Suricata_suricatta",11126,328,594,37,1.26537150972915e-05
"Neomonachus_schauinslandi - Ursus_maritimus",12855,380,303,48,5.24880521198049e-22
"Neomonachus_schauinslandi - Zalophus_californianus",6052,163,61,9,3.11933086789191e-05
"Odobenus_rosmarus - Panthera_pardus",12988,538,209,28,3.91224608871084e-08
