"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Odobenus_rosmarus - Panthera_tigris",12447,613,336,80,1.19888088420979e-33
"Odobenus_rosmarus - Puma_concolor",10558,665,309,82,1.37344828391515e-30
"Odobenus_rosmarus - Suricata_suricatta",11012,521,608,47,0.000572392185035398
"Odobenus_rosmarus - Ursus_maritimus",12672,554,327,52,3.01824578749793e-16
"Odobenus_rosmarus - Zalophus_californianus",5973,351,68,7,0.102676527094526
"Panthera_pardus - Panthera_tigris",12541,381,265,69,1.35706190318968e-45
"Panthera_pardus - Puma_concolor",10607,428,262,72,6.300721000729e-41
"Panthera_pardus - Suricata_suricatta",10955,290,582,34,1.12946758576692e-05
"Panthera_pardus - Ursus_maritimus",12660,323,319,50,1.14117958414673e-25
"Panthera_pardus - Zalophus_californianus",5938,135,74,8,0.000247205479334047
"Panthera_tigris - Puma_concolor",10394,439,316,80,3.86650918035824e-41
"Panthera_tigris - Suricata_suricatta",10583,331,676,74,2.8042475354514e-22
"Panthera_tigris - Ursus_maritimus",12504,363,408,69,5.65659831197657e-34
"Panthera_tigris - Zalophus_californianus",5593,203,159,50,5.49327615695787e-35
"Puma_concolor - Suricata_suricatta",9020,359,581,75,1.17569406412804e-20
"Puma_concolor - Ursus_maritimus",10452,413,355,78,1.72453434697984e-37
"Puma_concolor - Zalophus_californianus",5164,209,156,45,1.52674116363e-27
"Suricata_suricatta - Ursus_maritimus",10741,270,695,57,6.87685113739559e-16
"Suricata_suricatta - Zalophus_californianus",5123,132,270,23,2.6346097310435e-07
"Ursus_maritimus - Zalophus_californianus",5717,158,159,29,1.23867672104495e-16
