"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Mustela_putorius - Puma_concolor",10064,428,108,38,2.15011347626062e-25
"Mustela_putorius - Suricata_suricatta",10496,303,115,65,2.32744550741083e-71
"Mustela_putorius - Ursus_maritimus",12097,327,148,44,4.34067461882244e-34
"Mustela_putorius - Zalophus_californianus",5537,174,37,6,0.000913141658130194
"Neomonachus_schauinslandi - Odobenus_rosmarus",13241,568,155,29,1.555197254609e-11
"Neomonachus_schauinslandi - Panthera_pardus",13160,357,190,28,2.28711874001555e-13
"Neomonachus_schauinslandi - Panthera_tigris",12635,413,188,65,1.38569491059942e-49
"Neomonachus_schauinslandi - Puma_concolor",10711,449,146,56,9.14366049722197e-40
"Neomonachus_schauinslandi - Suricata_suricatta",11126,328,134,72,4.32652553576123e-76
"Neomonachus_schauinslandi - Ursus_maritimus",12855,380,172,57,9.09386644998925e-45
"Neomonachus_schauinslandi - Zalophus_californianus",6052,163,54,15,5.20453870626057e-12
"Odobenus_rosmarus - Panthera_pardus",12988,538,181,24,4.46586152831216e-07
"Odobenus_rosmarus - Panthera_tigris",12447,613,189,72,1.34428697121485e-45
"Odobenus_rosmarus - Puma_concolor",10558,665,142,56,6.05955489570318e-31
"Odobenus_rosmarus - Suricata_suricatta",11012,521,137,69,2.88201886154533e-55
"Odobenus_rosmarus - Ursus_maritimus",12672,554,172,54,5.48552251493514e-32
"Odobenus_rosmarus - Zalophus_californianus",5973,351,57,10,0.00156053770227392
"Panthera_pardus - Panthera_tigris",12541,381,183,55,5.71571239720629e-40
"Panthera_pardus - Puma_concolor",10607,428,158,49,1.30490455820663e-30
"Panthera_pardus - Suricata_suricatta",10955,290,141,69,1.15158113160681e-72
"Panthera_pardus - Ursus_maritimus",12660,323,189,49,6.08360572409525e-36
"Panthera_pardus - Zalophus_californianus",5938,135,70,8,0.000167116238775896
"Panthera_tigris - Puma_concolor",10394,439,119,44,1.93184119646686e-30
"Panthera_tigris - Suricata_suricatta",10583,331,141,83,1.16790143884547e-90
"Panthera_tigris - Ursus_maritimus",12504,363,165,51,8.91515951647966e-39
"Panthera_tigris - Zalophus_californianus",5593,203,67,41,1.7316708223106e-43
"Puma_concolor - Suricata_suricatta",9020,359,120,78,1.14039395869178e-81
"Puma_concolor - Ursus_maritimus",10452,413,128,49,4.47855694948234e-36
"Puma_concolor - Zalophus_californianus",5164,209,44,24,8.68442149042137e-23
"Suricata_suricatta - Ursus_maritimus",10741,270,145,83,3.69657388922628e-98
"Suricata_suricatta - Zalophus_californianus",5123,132,47,33,1.3385989446379e-43
"Ursus_maritimus - Zalophus_californianus",5717,158,69,37,5.99272675941922e-41
