"","nb.markers","nb.syntenic.outliers","nb.filtered","nb.filtered.syntenic.outliers","pval"
"Ailuropoda_melanoleuca - Callorhinus_ursinus",6493,558,56,14,0.000198556082486509
"Ailuropoda_melanoleuca - Canis_familiaris",12192,753,247,33,2.21454085993099e-05
"Ailuropoda_melanoleuca - Eumetopias_jubatus",7543,682,68,17,8.12175813051671e-05
"Ailuropoda_melanoleuca - Felis_catus",11229,656,144,19,0.00070399418117048
"Ailuropoda_melanoleuca - Mustela_putorius",11720,770,116,17,0.001458188755089
"Ailuropoda_melanoleuca - Neomonachus_schauinslandi",12335,797,142,29,2.35807987261708e-08
"Ailuropoda_melanoleuca - Odobenus_rosmarus",12214,913,147,26,3.07132648236936e-05
"Ailuropoda_melanoleuca - Panthera_pardus",12123,733,150,22,9.56505464767866e-05
"Ailuropoda_melanoleuca - Panthera_tigris",11725,840,165,66,3.10563389301814e-33
"Ailuropoda_melanoleuca - Puma_concolor",9907,894,119,49,3.12383605850785e-21
"Ailuropoda_melanoleuca - Suricata_suricatta",10368,730,126,70,6.37414401939496e-48
"Ailuropoda_melanoleuca - Ursus_maritimus",11924,771,145,54,9.75832275497963e-28
"Ailuropoda_melanoleuca - Zalophus_californianus",5506,586,47,7,0.22881721641225
"Callorhinus_ursinus - Canis_familiaris",6979,146,143,13,7.98456164501504e-06
"Callorhinus_ursinus - Eumetopias_jubatus",6660,105,40,5,0.000375632145194757
"Callorhinus_ursinus - Felis_catus",6309,92,72,8,8.38507198990476e-06
"Callorhinus_ursinus - Mustela_putorius",6616,182,50,7,0.000390132944696368
"Callorhinus_ursinus - Neomonachus_schauinslandi",7147,186,73,15,3.75671363297352e-10
"Callorhinus_ursinus - Odobenus_rosmarus",7061,355,75,11,0.00119883346419969
"Callorhinus_ursinus - Panthera_pardus",7003,161,86,11,3.72191783896613e-06
"Callorhinus_ursinus - Panthera_tigris",6617,212,82,40,5.1966608647633e-39
"Callorhinus_ursinus - Puma_concolor",6086,246,58,31,9.74653615219109e-29
"Callorhinus_ursinus - Suricata_suricatta",5953,139,58,40,4.02570549607042e-54
"Callorhinus_ursinus - Ursus_maritimus",6760,160,68,29,3.30406529297463e-30
"Callorhinus_ursinus - Zalophus_californianus",4782,71,17,1,0.224871918251815
"Canis_familiaris - Eumetopias_jubatus",8091,190,182,17,1.13440114377572e-06
"Canis_familiaris - Felis_catus",11863,216,254,16,1.62268670945411e-05
"Canis_familiaris - Mustela_putorius",12383,301,239,13,0.00569224881601401
"Canis_familiaris - Neomonachus_schauinslandi",13119,358,271,29,3.0715794618724e-10
"Canis_familiaris - Odobenus_rosmarus",12955,517,271,29,1.29907648523162e-06
"Canis_familiaris - Panthera_pardus",12919,313,287,24,1.29334511109318e-07
"Canis_familiaris - Panthera_tigris",12405,407,286,75,2.21507116627999e-47
"Canis_familiaris - Puma_concolor",10525,444,217,53,1.99004409689241e-26
"Canis_familiaris - Suricata_suricatta",10948,276,244,83,8.03175294490034e-74
"Canis_familiaris - Ursus_maritimus",12614,355,276,61,9.4729503333255e-38
"Canis_familiaris - Zalophus_californianus",5918,106,119,7,0.00525400550151677
"Eumetopias_jubatus - Felis_catus",7318,132,77,9,8.79661466480321e-06
"Eumetopias_jubatus - Mustela_putorius",7666,251,69,12,1.95739865990034e-06
"Eumetopias_jubatus - Neomonachus_schauinslandi",8287,241,95,27,5.15789108979488e-20
"Eumetopias_jubatus - Odobenus_rosmarus",8178,422,89,19,9.23353384596762e-08
"Eumetopias_jubatus - Panthera_pardus",8109,205,107,18,1.35387747546936e-10
"Eumetopias_jubatus - Panthera_tigris",7685,273,99,43,6.52555240229341e-37
"Eumetopias_jubatus - Puma_concolor",7099,293,78,36,8.04560422156116e-30
"Eumetopias_jubatus - Suricata_suricatta",6905,197,72,48,7.70123903200752e-59
"Eumetopias_jubatus - Ursus_maritimus",7853,211,102,42,3.39895340635043e-40
"Eumetopias_jubatus - Zalophus_californianus",5390,91,33,2,0.10632684380739
"Felis_catus - Mustela_putorius",11436,235,143,12,3.78450957421451e-05
"Felis_catus - Neomonachus_schauinslandi",12019,286,165,18,7.40563905429957e-08
"Felis_catus - Odobenus_rosmarus",11890,443,153,17,5.48917266632054e-05
"Felis_catus - Panthera_pardus",11887,176,149,14,4.14241371054703e-08
"Felis_catus - Panthera_tigris",11482,258,161,41,3.46779470720037e-32
"Felis_catus - Puma_concolor",9687,303,115,30,6.2807148928993e-20
"Felis_catus - Suricata_suricatta",10140,210,121,56,9.43095929553575e-64
"Felis_catus - Ursus_maritimus",11628,227,161,39,3.80388840046977e-32
"Felis_catus - Zalophus_californianus",5268,72,57,4,0.00734208468408268
"Mustela_putorius - Neomonachus_schauinslandi",12565,389,141,17,1.64670460663628e-06
"Mustela_putorius - Odobenus_rosmarus",12441,522,139,13,0.0056217877049438
"Mustela_putorius - Panthera_pardus",12334,323,153,17,5.16052270800626e-07
"Mustela_putorius - Panthera_tigris",11905,415,154,58,3.65814989537586e-45
