"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"578" "89" "tsh" "2e+05" "100" "1e-08" "53" "27" "0" "27" "140" "0" "0" "140"
"579" "90" "phy" "2e+05" "100" "1e-08" "53" "169" "105" "64" "82" "0.621301775147929" "0.561497326203209" "187"
"580" "90" "tsh" "2e+05" "100" "1e-08" "53" "7" "1" "6" "186" "0.142857142857143" "0.0053475935828877" "187"
"581" "91" "phy" "2e+05" "100" "1e-08" "53" "104" "79" "25" "78" "0.759615384615385" "0.503184713375796" "157"
"582" "91" "tsh" "2e+05" "100" "1e-08" "53" "31" "6" "25" "151" "0.193548387096774" "0.0382165605095541" "157"
"583" "92" "phy" "2e+05" "100" "1e-08" "53" "73" "61" "12" "14" "0.835616438356164" "0.813333333333333" "75"
"584" "92" "tsh" "2e+05" "100" "1e-08" "53" "8" "4" "4" "71" "0.5" "0.0533333333333333" "75"
"585" "93" "phy" "2e+05" "100" "1e-08" "53" "103" "72" "31" "35" "0.699029126213592" "0.672897196261682" "107"
"586" "93" "tsh" "2e+05" "100" "1e-08" "53" "29" "10" "19" "97" "0.344827586206897" "0.0934579439252336" "107"
"587" "94" "phy" "2e+05" "100" "1e-08" "53" "107" "77" "30" "57" "0.719626168224299" "0.574626865671642" "134"
"588" "94" "tsh" "2e+05" "100" "1e-08" "53" "10" "1" "9" "133" "0.1" "0.00746268656716418" "134"
"589" "95" "phy" "2e+05" "100" "1e-08" "53" "65" "56" "9" "58" "0.861538461538462" "0.491228070175439" "114"
"590" "95" "tsh" "2e+05" "100" "1e-08" "53" "11" "7" "4" "107" "0.636363636363636" "0.0614035087719298" "114"
"591" "96" "phy" "2e+05" "100" "1e-08" "53" "119" "73" "46" "51" "0.613445378151261" "0.588709677419355" "124"
"592" "96" "tsh" "2e+05" "100" "1e-08" "53" "9" "0" "9" "124" "0" "0" "124"
"593" "97" "phy" "2e+05" "100" "1e-08" "53" "134" "88" "46" "36" "0.656716417910448" "0.709677419354839" "124"
"594" "97" "tsh" "2e+05" "100" "1e-08" "53" "8" "3" "5" "121" "0.375" "0.0241935483870968" "124"
"595" "98" "phy" "2e+05" "100" "1e-08" "53" "78" "44" "34" "66" "0.564102564102564" "0.4" "110"
"596" "98" "tsh" "2e+05" "100" "1e-08" "53" "19" "1" "18" "109" "0.0526315789473684" "0.00909090909090909" "110"
"597" "99" "phy" "2e+05" "100" "1e-08" "53" "93" "81" "12" "46" "0.870967741935484" "0.637795275590551" "127"
"598" "99" "tsh" "2e+05" "100" "1e-08" "53" "23" "8" "15" "119" "0.347826086956522" "0.062992125984252" "127"
"599" "100" "phy" "2e+05" "100" "1e-08" "53" "87" "45" "42" "89" "0.517241379310345" "0.335820895522388" "134"
"600" "100" "tsh" "2e+05" "100" "1e-08" "53" "25" "3" "22" "131" "0.12" "0.0223880597014925" "134"
