"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"246" "23" "tsh" "10" "100" "1e-08" "10" "12" "4" "8" "47" "0.333333333333333" "0.0784313725490196" "51"
"247" "24" "phy" "10" "100" "1e-08" "10" "82" "49" "33" "14" "0.597560975609756" "0.777777777777778" "63"
"248" "24" "tsh" "10" "100" "1e-08" "10" "7" "2" "5" "61" "0.285714285714286" "0.0317460317460317" "63"
"249" "25" "phy" "10" "100" "1e-08" "10" "70" "44" "26" "6" "0.628571428571429" "0.88" "50"
"250" "25" "tsh" "10" "100" "1e-08" "10" "11" "2" "9" "48" "0.181818181818182" "0.04" "50"
"251" "26" "phy" "10" "100" "1e-08" "10" "89" "57" "32" "4" "0.640449438202247" "0.934426229508197" "61"
"252" "26" "tsh" "10" "100" "1e-08" "10" "17" "4" "13" "57" "0.235294117647059" "0.0655737704918033" "61"
"253" "27" "phy" "10" "100" "1e-08" "10" "155" "86" "69" "17" "0.554838709677419" "0.83495145631068" "103"
"254" "27" "tsh" "10" "100" "1e-08" "10" "18" "4" "14" "99" "0.222222222222222" "0.0388349514563107" "103"
"255" "28" "phy" "10" "100" "1e-08" "10" "95" "68" "27" "2" "0.715789473684211" "0.971428571428571" "70"
"256" "28" "tsh" "10" "100" "1e-08" "10" "24" "18" "6" "52" "0.75" "0.257142857142857" "70"
"257" "29" "phy" "10" "100" "1e-08" "10" "108" "77" "31" "23" "0.712962962962963" "0.77" "100"
"258" "29" "tsh" "10" "100" "1e-08" "10" "4" "0" "4" "100" "0" "0" "100"
"259" "30" "phy" "10" "100" "1e-08" "10" "82" "63" "19" "14" "0.768292682926829" "0.818181818181818" "77"
"260" "30" "tsh" "10" "100" "1e-08" "10" "14" "4" "10" "73" "0.285714285714286" "0.051948051948052" "77"
"261" "31" "phy" "10" "100" "1e-08" "10" "91" "56" "35" "16" "0.615384615384615" "0.777777777777778" "72"
"262" "31" "tsh" "10" "100" "1e-08" "10" "10" "4" "6" "68" "0.4" "0.0555555555555556" "72"
"263" "32" "phy" "10" "100" "1e-08" "10" "46" "40" "6" "8" "0.869565217391304" "0.833333333333333" "48"
"264" "32" "tsh" "10" "100" "1e-08" "10" "6" "0" "6" "48" "0" "0" "48"
