"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" "1" "phy" "1e+05" "100" "1e-08" "1" "23" "18" "5" "6" "0.782608695652174" "0.75" "24"
"2" "1" "tsh" "1e+05" "100" "1e-08" "1" "14" "1" "13" "23" "0.0714285714285714" "0.0416666666666667" "24"
"3" "2" "phy" "1e+05" "100" "1e-08" "1" "32" "24" "8" "4" "0.75" "0.857142857142857" "28"
"4" "2" "tsh" "1e+05" "100" "1e-08" "1" "6" "1" "5" "27" "0.166666666666667" "0.0357142857142857" "28"
"5" "3" "phy" "1e+05" "100" "1e-08" "1" "25" "20" "5" "2" "0.8" "0.909090909090909" "22"
"6" "3" "tsh" "1e+05" "100" "1e-08" "1" "10" "1" "9" "21" "0.1" "0.0454545454545455" "22"
"7" "4" "phy" "1e+05" "100" "1e-08" "1" "30" "25" "5" "7" "0.833333333333333" "0.78125" "32"
"8" "4" "tsh" "1e+05" "100" "1e-08" "1" "14" "0" "14" "32" "0" "0" "32"
"9" "5" "phy" "1e+05" "100" "1e-08" "1" "34" "25" "9" "2" "0.735294117647059" "0.925925925925926" "27"
"10" "5" "tsh" "1e+05" "100" "1e-08" "1" "11" "0" "11" "27" "0" "0" "27"
"11" "6" "phy" "1e+05" "100" "1e-08" "1" "22" "20" "2" "3" "0.909090909090909" "0.869565217391304" "23"
"12" "6" "tsh" "1e+05" "100" "1e-08" "1" "12" "0" "12" "23" "0" "0" "23"
"13" "7" "phy" "1e+05" "100" "1e-08" "1" "28" "24" "4" "5" "0.857142857142857" "0.827586206896552" "29"
"14" "7" "tsh" "1e+05" "100" "1e-08" "1" "13" "0" "13" "29" "0" "0" "29"
"15" "8" "phy" "1e+05" "100" "1e-08" "1" "19" "16" "3" "8" "0.842105263157895" "0.666666666666667" "24"
"16" "8" "tsh" "1e+05" "100" "1e-08" "1" "7" "0" "7" "24" "0" "0" "24"
"17" "9" "phy" "1e+05" "100" "1e-08" "1" "35" "25" "10" "3" "0.714285714285714" "0.892857142857143" "28"
"18" "9" "tsh" "1e+05" "100" "1e-08" "1" "12" "0" "12" "28" "0" "0" "28"
"19" "10" "phy" "1e+05" "100" "1e-08" "1" "18" "17" "1" "7" "0.944444444444444" "0.708333333333333" "24"
"20" "10" "tsh" "1e+05" "100" "1e-08" "1" "7" "1" "6" "23" "0.142857142857143" "0.0416666666666667" "24"
"21" "11" "phy" "1e+05" "100" "1e-08" "1" "31" "21" "10" "3" "0.67741935483871" "0.875" "24"
"22" "11" "tsh" "1e+05" "100" "1e-08" "1" "16" "5" "11" "19" "0.3125" "0.208333333333333" "24"
"23" "12" "phy" "1e+05" "100" "1e-08" "1" "24" "20" "4" "5" "0.833333333333333" "0.8" "25"
"24" "12" "tsh" "1e+05" "100" "1e-08" "1" "11" "0" "11" "25" "0" "0" "25"
"25" "13" "phy" "1e+05" "100" "1e-08" "1" "24" "19" "5" "5" "0.791666666666667" "0.791666666666667" "24"
"26" "13" "tsh" "1e+05" "100" "1e-08" "1" "15" "2" "13" "22" "0.133333333333333" "0.0833333333333333" "24"
"27" "14" "phy" "1e+05" "100" "1e-08" "1" "26" "24" "2" "4" "0.923076923076923" "0.857142857142857" "28"
"28" "14" "tsh" "1e+05" "100" "1e-08" "1" "16" "2" "14" "26" "0.125" "0.0714285714285714" "28"
"29" "15" "phy" "1e+05" "100" "1e-08" "1" "28" "23" "5" "3" "0.821428571428571" "0.884615384615385" "26"
"30" "15" "tsh" "1e+05" "100" "1e-08" "1" "7" "2" "5" "24" "0.285714285714286" "0.0769230769230769" "26"
"31" "16" "phy" "1e+05" "100" "1e-08" "1" "28" "25" "3" "1" "0.892857142857143" "0.961538461538462" "26"
"32" "16" "tsh" "1e+05" "100" "1e-08" "1" "4" "0" "4" "26" "0" "0" "26"
"33" "17" "phy" "1e+05" "100" "1e-08" "1" "27" "20" "7" "6" "0.740740740740741" "0.769230769230769" "26"
"34" "17" "tsh" "1e+05" "100" "1e-08" "1" "12" "0" "12" "26" "0" "0" "26"
"35" "18" "phy" "1e+05" "100" "1e-08" "1" "18" "15" "3" "4" "0.833333333333333" "0.789473684210526" "19"
"36" "18" "tsh" "1e+05" "100" "1e-08" "1" "9" "0" "9" "19" "0" "0" "19"
"37" "19" "phy" "1e+05" "100" "1e-08" "1" "23" "20" "3" "6" "0.869565217391304" "0.769230769230769" "26"
"38" "19" "tsh" "1e+05" "100" "1e-08" "1" "13" "0" "13" "26" "0" "0" "26"
"39" "20" "phy" "1e+05" "100" "1e-08" "1" "29" "24" "5" "3" "0.827586206896552" "0.888888888888889" "27"
"40" "20" "tsh" "1e+05" "100" "1e-08" "1" "5" "0" "5" "27" "0" "0" "27"
"41" "21" "phy" "1e+05" "100" "1e-08" "1" "32" "25" "7" "4" "0.78125" "0.862068965517241" "29"
"42" "21" "tsh" "1e+05" "100" "1e-08" "1" "12" "1" "11" "28" "0.0833333333333333" "0.0344827586206897" "29"
"43" "22" "phy" "1e+05" "100" "1e-08" "1" "26" "22" "4" "3" "0.846153846153846" "0.88" "25"
"44" "22" "tsh" "1e+05" "100" "1e-08" "1" "8" "1" "7" "24" "0.125" "0.04" "25"
"45" "23" "phy" "1e+05" "100" "1e-08" "1" "24" "24" "0" "3" "1" "0.888888888888889" "27"
"46" "23" "tsh" "1e+05" "100" "1e-08" "1" "15" "2" "13" "25" "0.133333333333333" "0.0740740740740741" "27"
"47" "24" "phy" "1e+05" "100" "1e-08" "1" "30" "28" "2" "3" "0.933333333333333" "0.903225806451613" "31"
"48" "24" "tsh" "1e+05" "100" "1e-08" "1" "9" "0" "9" "31" "0" "0" "31"
"49" "25" "phy" "1e+05" "100" "1e-08" "1" "42" "22" "20" "2" "0.523809523809524" "0.916666666666667" "24"
"50" "25" "tsh" "1e+05" "100" "1e-08" "1" "5" "2" "3" "22" "0.4" "0.0833333333333333" "24"
"51" "26" "phy" "1e+05" "100" "1e-08" "1" "27" "22" "5" "6" "0.814814814814815" "0.785714285714286" "28"
"52" "26" "tsh" "1e+05" "100" "1e-08" "1" "21" "1" "20" "27" "0.0476190476190476" "0.0357142857142857" "28"
"53" "27" "phy" "1e+05" "100" "1e-08" "1" "48" "27" "21" "4" "0.5625" "0.870967741935484" "31"
"54" "27" "tsh" "1e+05" "100" "1e-08" "1" "9" "1" "8" "30" "0.111111111111111" "0.032258064516129" "31"
"55" "28" "phy" "1e+05" "100" "1e-08" "1" "29" "27" "2" "6" "0.931034482758621" "0.818181818181818" "33"
"56" "28" "tsh" "1e+05" "100" "1e-08" "1" "17" "1" "16" "32" "0.0588235294117647" "0.0303030303030303" "33"
"57" "29" "phy" "1e+05" "100" "1e-08" "1" "32" "27" "5" "1" "0.84375" "0.964285714285714" "28"
"58" "29" "tsh" "1e+05" "100" "1e-08" "1" "14" "1" "13" "27" "0.0714285714285714" "0.0357142857142857" "28"
"59" "30" "phy" "1e+05" "100" "1e-08" "1" "27" "22" "5" "3" "0.814814814814815" "0.88" "25"
"60" "30" "tsh" "1e+05" "100" "1e-08" "1" "11" "1" "10" "24" "0.0909090909090909" "0.04" "25"
"61" "31" "phy" "1e+05" "100" "1e-08" "1" "39" "27" "12" "3" "0.692307692307692" "0.9" "30"
"62" "31" "tsh" "1e+05" "100" "1e-08" "1" "13" "0" "13" "30" "0" "0" "30"
"63" "32" "phy" "1e+05" "100" "1e-08" "1" "28" "23" "5" "3" "0.821428571428571" "0.884615384615385" "26"
"64" "32" "tsh" "1e+05" "100" "1e-08" "1" "9" "0" "9" "26" "0" "0" "26"
"65" "33" "phy" "1e+05" "100" "1e-08" "1" "24" "22" "2" "5" "0.916666666666667" "0.814814814814815" "27"
"66" "33" "tsh" "1e+05" "100" "1e-08" "1" "6" "1" "5" "26" "0.166666666666667" "0.037037037037037" "27"
"67" "34" "phy" "1e+05" "100" "1e-08" "1" "24" "21" "3" "8" "0.875" "0.724137931034483" "29"
"68" "34" "tsh" "1e+05" "100" "1e-08" "1" "6" "0" "6" "29" "0" "0" "29"
"69" "35" "phy" "1e+05" "100" "1e-08" "1" "19" "14" "5" "2" "0.736842105263158" "0.875" "16"
"70" "35" "tsh" "1e+05" "100" "1e-08" "1" "8" "2" "6" "14" "0.25" "0.125" "16"
"71" "36" "phy" "1e+05" "100" "1e-08" "1" "33" "28" "5" "5" "0.848484848484849" "0.848484848484849" "33"
"72" "36" "tsh" "1e+05" "100" "1e-08" "1" "12" "1" "11" "32" "0.0833333333333333" "0.0303030303030303" "33"
"73" "37" "phy" "1e+05" "100" "1e-08" "1" "22" "21" "1" "2" "0.954545454545455" "0.91304347826087" "23"
"74" "37" "tsh" "1e+05" "100" "1e-08" "1" "11" "1" "10" "22" "0.0909090909090909" "0.0434782608695652" "23"
"75" "38" "phy" "1e+05" "100" "1e-08" "1" "23" "20" "3" "3" "0.869565217391304" "0.869565217391304" "23"
"76" "38" "tsh" "1e+05" "100" "1e-08" "1" "11" "0" "11" "23" "0" "0" "23"
"77" "39" "phy" "1e+05" "100" "1e-08" "1" "30" "25" "5" "2" "0.833333333333333" "0.925925925925926" "27"
"78" "39" "tsh" "1e+05" "100" "1e-08" "1" "4" "1" "3" "26" "0.25" "0.037037037037037" "27"
"79" "40" "phy" "1e+05" "100" "1e-08" "1" "24" "23" "1" "4" "0.958333333333333" "0.851851851851852" "27"
"80" "40" "tsh" "1e+05" "100" "1e-08" "1" "9" "0" "9" "27" "0" "0" "27"
"81" "41" "phy" "1e+05" "100" "1e-08" "1" "28" "19" "9" "6" "0.678571428571429" "0.76" "25"
"82" "41" "tsh" "1e+05" "100" "1e-08" "1" "8" "0" "8" "25" "0" "0" "25"
"83" "42" "phy" "1e+05" "100" "1e-08" "1" "24" "22" "2" "7" "0.916666666666667" "0.758620689655172" "29"
"84" "42" "tsh" "1e+05" "100" "1e-08" "1" "9" "0" "9" "29" "0" "0" "29"
"85" "43" "phy" "1e+05" "100" "1e-08" "1" "53" "21" "32" "2" "0.39622641509434" "0.91304347826087" "23"
"86" "43" "tsh" "1e+05" "100" "1e-08" "1" "5" "0" "5" "23" "0" "0" "23"
"87" "44" "phy" "1e+05" "100" "1e-08" "1" "22" "19" "3" "4" "0.863636363636364" "0.826086956521739" "23"
"88" "44" "tsh" "1e+05" "100" "1e-08" "1" "5" "1" "4" "22" "0.2" "0.0434782608695652" "23"
"89" "45" "phy" "1e+05" "100" "1e-08" "1" "48" "23" "25" "2" "0.479166666666667" "0.92" "25"
"90" "45" "tsh" "1e+05" "100" "1e-08" "1" "13" "1" "12" "24" "0.0769230769230769" "0.04" "25"
"91" "46" "phy" "1e+05" "100" "1e-08" "1" "27" "20" "7" "1" "0.740740740740741" "0.952380952380952" "21"
"92" "46" "tsh" "1e+05" "100" "1e-08" "1" "8" "0" "8" "21" "0" "0" "21"
"93" "47" "phy" "1e+05" "100" "1e-08" "1" "26" "25" "1" "5" "0.961538461538462" "0.833333333333333" "30"
"94" "47" "tsh" "1e+05" "100" "1e-08" "1" "7" "1" "6" "29" "0.142857142857143" "0.0333333333333333" "30"
