"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" "1" "phy" "5e+05" "100" "1e-08" "1" "7" "7" "0" "16" "1" "0.304347826086957" "23"
"2" "1" "tsh" "5e+05" "100" "1e-08" "1" "27" "2" "25" "21" "0.0740740740740741" "0.0869565217391304" "23"
"3" "2" "phy" "5e+05" "100" "1e-08" "1" "6" "6" "0" "15" "1" "0.285714285714286" "21"
"4" "2" "tsh" "5e+05" "100" "1e-08" "1" "17" "1" "16" "20" "0.0588235294117647" "0.0476190476190476" "21"
"5" "3" "phy" "5e+05" "100" "1e-08" "1" "15" "14" "1" "11" "0.933333333333333" "0.56" "25"
"6" "3" "tsh" "5e+05" "100" "1e-08" "1" "11" "0" "11" "25" "0" "0" "25"
"7" "4" "phy" "5e+05" "100" "1e-08" "1" "23" "22" "1" "16" "0.956521739130435" "0.578947368421053" "38"
"8" "4" "tsh" "5e+05" "100" "1e-08" "1" "21" "4" "17" "34" "0.19047619047619" "0.105263157894737" "38"
"9" "5" "phy" "5e+05" "100" "1e-08" "1" "20" "19" "1" "9" "0.95" "0.678571428571429" "28"
"10" "5" "tsh" "5e+05" "100" "1e-08" "1" "16" "1" "15" "27" "0.0625" "0.0357142857142857" "28"
"11" "6" "phy" "5e+05" "100" "1e-08" "1" "26" "13" "13" "13" "0.5" "0.5" "26"
"12" "6" "tsh" "5e+05" "100" "1e-08" "1" "30" "2" "28" "24" "0.0666666666666667" "0.0769230769230769" "26"
"13" "7" "phy" "5e+05" "100" "1e-08" "1" "25" "13" "12" "4" "0.52" "0.764705882352941" "17"
"14" "7" "tsh" "5e+05" "100" "1e-08" "1" "17" "0" "17" "17" "0" "0" "17"
"15" "8" "phy" "5e+05" "100" "1e-08" "1" "20" "20" "0" "15" "1" "0.571428571428571" "35"
"16" "8" "tsh" "5e+05" "100" "1e-08" "1" "25" "0" "25" "35" "0" "0" "35"
"17" "9" "phy" "5e+05" "100" "1e-08" "1" "22" "17" "5" "12" "0.772727272727273" "0.586206896551724" "29"
"18" "9" "tsh" "5e+05" "100" "1e-08" "1" "10" "0" "10" "29" "0" "0" "29"
"19" "10" "phy" "5e+05" "100" "1e-08" "1" "18" "15" "3" "16" "0.833333333333333" "0.483870967741935" "31"
"20" "10" "tsh" "5e+05" "100" "1e-08" "1" "38" "1" "37" "30" "0.0263157894736842" "0.032258064516129" "31"
"21" "11" "phy" "5e+05" "100" "1e-08" "1" "18" "17" "1" "15" "0.944444444444444" "0.53125" "32"
"22" "11" "tsh" "5e+05" "100" "1e-08" "1" "21" "0" "21" "32" "0" "0" "32"
"23" "12" "phy" "5e+05" "100" "1e-08" "1" "18" "9" "9" "10" "0.5" "0.473684210526316" "19"
"24" "12" "tsh" "5e+05" "100" "1e-08" "1" "27" "1" "26" "18" "0.037037037037037" "0.0526315789473684" "19"
"25" "13" "phy" "5e+05" "100" "1e-08" "1" "23" "19" "4" "7" "0.826086956521739" "0.730769230769231" "26"
"26" "13" "tsh" "5e+05" "100" "1e-08" "1" "22" "1" "21" "25" "0.0454545454545455" "0.0384615384615385" "26"
"27" "14" "phy" "5e+05" "100" "1e-08" "1" "33" "20" "13" "14" "0.606060606060606" "0.588235294117647" "34"
"28" "14" "tsh" "5e+05" "100" "1e-08" "1" "25" "0" "25" "34" "0" "0" "34"
"29" "15" "phy" "5e+05" "100" "1e-08" "1" "19" "16" "3" "10" "0.842105263157895" "0.615384615384615" "26"
"30" "15" "tsh" "5e+05" "100" "1e-08" "1" "19" "0" "19" "26" "0" "0" "26"
"31" "16" "phy" "5e+05" "100" "1e-08" "1" "18" "18" "0" "13" "1" "0.580645161290323" "31"
"32" "16" "tsh" "5e+05" "100" "1e-08" "1" "22" "1" "21" "30" "0.0454545454545455" "0.032258064516129" "31"
"33" "17" "phy" "5e+05" "100" "1e-08" "1" "28" "18" "10" "1" "0.642857142857143" "0.947368421052632" "19"
"34" "17" "tsh" "5e+05" "100" "1e-08" "1" "25" "2" "23" "17" "0.08" "0.105263157894737" "19"
"35" "18" "phy" "5e+05" "100" "1e-08" "1" "16" "16" "0" "13" "1" "0.551724137931034" "29"
"36" "18" "tsh" "5e+05" "100" "1e-08" "1" "24" "1" "23" "28" "0.0416666666666667" "0.0344827586206897" "29"
"37" "19" "phy" "5e+05" "100" "1e-08" "1" "8" "7" "1" "13" "0.875" "0.35" "20"
"38" "19" "tsh" "5e+05" "100" "1e-08" "1" "38" "1" "37" "19" "0.0263157894736842" "0.05" "20"
"39" "20" "phy" "5e+05" "100" "1e-08" "1" "29" "12" "17" "11" "0.413793103448276" "0.521739130434783" "23"
"40" "20" "tsh" "5e+05" "100" "1e-08" "1" "9" "0" "9" "23" "0" "0" "23"
"41" "21" "phy" "5e+05" "100" "1e-08" "1" "25" "25" "0" "13" "1" "0.657894736842105" "38"
"42" "21" "tsh" "5e+05" "100" "1e-08" "1" "17" "2" "15" "36" "0.117647058823529" "0.0526315789473684" "38"
"43" "22" "phy" "5e+05" "100" "1e-08" "1" "8" "8" "0" "17" "1" "0.32" "25"
"44" "22" "tsh" "5e+05" "100" "1e-08" "1" "8" "0" "8" "25" "0" "0" "25"
"45" "23" "phy" "5e+05" "100" "1e-08" "1" "33" "22" "11" "3" "0.666666666666667" "0.88" "25"
"46" "23" "tsh" "5e+05" "100" "1e-08" "1" "14" "1" "13" "24" "0.0714285714285714" "0.04" "25"
"47" "24" "phy" "5e+05" "100" "1e-08" "1" "4" "4" "0" "21" "1" "0.16" "25"
"48" "24" "tsh" "5e+05" "100" "1e-08" "1" "23" "2" "21" "23" "0.0869565217391304" "0.08" "25"
"49" "25" "phy" "5e+05" "100" "1e-08" "1" "15" "12" "3" "12" "0.8" "0.5" "24"
"50" "25" "tsh" "5e+05" "100" "1e-08" "1" "22" "0" "22" "24" "0" "0" "24"
"51" "26" "phy" "5e+05" "100" "1e-08" "1" "22" "20" "2" "6" "0.909090909090909" "0.769230769230769" "26"
"52" "26" "tsh" "5e+05" "100" "1e-08" "1" "8" "0" "8" "26" "0" "0" "26"
"53" "27" "phy" "5e+05" "100" "1e-08" "1" "37" "25" "12" "4" "0.675675675675676" "0.862068965517241" "29"
"54" "27" "tsh" "5e+05" "100" "1e-08" "1" "9" "1" "8" "28" "0.111111111111111" "0.0344827586206897" "29"
"55" "28" "phy" "5e+05" "100" "1e-08" "1" "20" "19" "1" "5" "0.95" "0.791666666666667" "24"
"56" "28" "tsh" "5e+05" "100" "1e-08" "1" "16" "4" "12" "20" "0.25" "0.166666666666667" "24"
"57" "29" "phy" "5e+05" "100" "1e-08" "1" "13" "12" "1" "13" "0.923076923076923" "0.48" "25"
